Input Size    Execution Time (ms)
10            0.002
10            0.001
10            0.001
10            0.001
10            0.001
10            0.001
10            0.002
10            0.001
10            0.001
10            0.001
10            0.001
10            0.002
10            0.001
10            0.001
10            0.002
10            0.001
10            0.001
10            0.001
10            0.002
10            0.001
10            0.001
10            0.001
10            0.001
10            0.001
10            0.002
100            0.023
100            0.022
100            0.021
100            0.022
100            0.02
100            0.021
100            0.022
100            0.021
100            0.023
100            0.021
100            0.022
100            0.021
100            0.021
100            0.022
100            0.022
100            0.021
100            0.023
100            0.024
100            0.02
100            0.023
100            0.021
100            0.022
100            0.02
100            0.02
100            0.023
1000            2.551
1000            3.753
1000            3.844
1000            4.026
1000            2.98
1000            3.078
1000            3.326
1000            3.3
1000            3.532
1000            3.829
1000            3.853
1000            5.694
1000            6.599
1000            6.329
1000            6.412
1000            5.14
1000            5.318
1000            5.214
1000            5.115
1000            5.18
1000            5.108
1000            5.112
1000            5.107
1000            5.135
1000            5.079
